SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5901000,"    East Kootenay, RDR",301,140,0,"2,638",18,46,50,751,50,68,702,31,1,150,175,230,172,"1,007",505,0,0,381,59,74,2,60,145,78,155,80,0,0,0,0,29,100,131,0,61,82,823,0,0,0,200,"2,082",0,15,680,13,11,15,16,17,5,5,0,325,100,150,0,0,30,302,4,540,0,0,3,0,0,141,1,0,54,0,0,0,2,0,0,0,0,0,5,0,469,0,94,124,2,0,205,0,104,0,1,42,0,0,133,0,3,"2,583",20,10,55,50,0,411,168,0,240,15,0,20,0,630,0,0,0,0,0,0,0,89,70,571,"3,199",25,400,30,60,200,19,156,"3,029",0,0,18,0,139,0,0,45,0,0,40,0,0,15,0,0,315,615,30,170,0,0,0,35,391,0,0,0,"3,199",1,0,0,0,8,0,0,145,380,0,200,535,65,100,0,0,0,0,25,19,660,49,0,625,0,0,0,315,2,0,"2,072",0,12,"1,490",75,30,0,0,350,190,440,0,0,685,0,0,140,104,230,0,0,0,0,807,162,20,150,0,50,220,"1,015",0,"1,400",0,39,0,"3,800","3,770",5,834,0,0,"6,800",0,0,0,10,121,0,20,0,750,200,1,0,0,0,950,60,0,25,25,0,0,0,0,0,2,0
5901003,"    Elkford, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,100,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,0,40,0,50,54,0,0,0,0,0,0,0,0,0,0,77,107,0,0,0,0,0,0,0,0,0,0,0,0,"6,030",425,0,0,0,0,"4,000",0,10,280,426,0,275,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,850,25,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,375,25,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,30,0,0,40,0,"8,039",0,0,0,0,0,6,195,0,0,0,213,0,0,60,0,0,2,200,59,0,0,0,0,0,0,0,427,167,0,0,0,0,42,0,0,0,0,0,80,2,0,0,145,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0
5901012,"    Fernie, C",5,12,0,560,25,300,20,50,0,60,483,62,75,0,2,7,0,15,10,5,92,46,12,0,0,0,0,25,0,79,0,0,100,2,251,0,39,12,416,128,"4,580",67,0,3,0,2,0,0,18,0,111,95,127,427,67,18,20,684,112,0,0,0,30,40,0,0,352,0,30,20,14,25,0,0,0,0,0,47,280,50,15,55,0,10,5,0,0,0,7,0,520,10,0,40,0,150,40,0,0,0,0,70,0,205,100,6,0,0,40,0,25,645,0,0,0,85,35,"3,726",0,4,25,40,6,0,268,9,0,198,500,250,0,0,0,0,0,0,180,0,0,0,30,0,58,333,0,0,"1,306",0,0,0,0,515,275,8,0,35,0,28,0,140,80,0,0,68,450,0,0,0,225,237,200,609,0,0,13,0,735,0,10,40,0,0,40,110,52,0,0,0,0,0,95,120,0,28,40,152,3,15,80,0,200,900,8,150,40,0,36,887,0,135,50,310,20,440,200,0,0,0,35,257,0,0,700,0,0,50,325,0,700,0,83,535,410,"1,410",505,10,10,419,140,0,0,0,45,10,0,225,49,35,0,0,0,0,0,10,70,47,150,70,512,20,0,0,54,"8,601",40
5901039,"    Invermere, DM",0,0,1,100,0,25,0,285,0,0,0,0,0,0,155,0,0,0,35,0,158,0,150,0,10,506,150,0,"1,415",0,20,211,30,0,200,200,150,1,0,81,0,0,0,40,15,35,0,37,"1,000",35,175,25,7,3,"2,075",0,0,0,0,300,0,116,0,60,0,100,0,0,95,0,55,0,0,227,0,0,87,0,0,0,0,10,12,0,0,0,0,0,800,30,0,0,0,40,0,0,0,0,0,0,49,0,12,0,0,0,0,15,0,558,0,180,60,0,0,0,0,0,0,30,175,0,0,0,0,0,0,0,0,0,0,0,25,0,95,4,0,128,0,0,80,276,70,0,0,0,70,35,0,105,0,0,0,5,0,225,0,0,3,0,4,"7,649",170,0,40,0,0,0,0,0,1,140,0,175,0,0,22,75,0,0,0,0,40,0,4,2,0,0,0,0,0,0,40,0,0,0,16,400,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,190,50,3,130,540,0,3,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,50,0,0,440,0,50,0
5901028,"    Kimberley, C",17,0,0,16,601,650,1,0,15,129,22,0,2,0,5,388,0,0,0,188,0,506,1,8,840,0,0,0,1,1,280,0,0,"4,152",4,0,0,1,200,142,0,300,0,1,0,800,0,0,41,0,110,10,50,0,100,"18,000",0,45,5,281,858,10,0,0,0,66,0,0,16,0,0,27,3,5,1,69,7,0,2,59,27,"6,300",39,10,60,0,0,0,"1,600",301,0,18,0,75,44,0,0,0,16,12,0,42,124,5,0,0,0,0,5,0,0,0,50,35,375,112,50,250,0,0,4,456,0,146,10,0,0,0,0,480,0,185,0,0,20,25,3,25,0,0,0,10,220,0,27,0,0,50,0,0,0,161,242,0,49,300,0,90,1,0,17,25,11,300,0,0,122,0,0,0,647,33,60,6,265,0,185,0,0,3,3,18,164,64,8,123,5,0,295,22,0,21,16,5,0,270,5,42,5,0,"5,504",107,0,0,79,12,50,16,7,0,0,3,36,13,2,0,0,0,30,0,1,0,550,35,0,19,25,20,10,0,0,350,0,4,0,468,0,0,1,15,9,1,0,"1,210",30,0,20,384,10,65,0,0,0,20,36,464,54,0,30,25,60,310,12,358,125
5901040,"    Radium Hot Springs, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,0,0,0,"2,000",0,0,0,25,0,0,10,0,0,0,0,80,0,0,0,0,72,0,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,35,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,5,0,0,0,0,804,0,0,0,0,52,0,0,226,0,49,30,0,0,0,0,0,0,0,0,800,0,0,0,0,0,25,0,40,0,"4,200",0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,385,33,0,0,0,0,25,0,2,0,0,0,0,0,0,0,275,0,0,0,0,0,8,450,0,0,0,0,0,0,140,0,0,0,0,4,0,0,0,40,50,0,0,0,0,0,0,0,0,0,"1,600",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,175,21
5901006,"    Sparwood, DM",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,245,0,0,0,5,230,0,0,98,31,0,0,0,79,47,0,0,0,0,240,650,0,0,0,0,690,0,0,75,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,300,0,0,0,0,450,600,0,800,0,280,0,0,0,0,8,0,476,"1,876",220,0,0,90,0,400,25,156,0,0,59,100,26,204,0,1,0,20,523,9,0,0,30,0,0,53,0,0,0,891,2,500,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,89,71,0,0,0,0,0,0,0,416,0,0,0,0,0,0,515,92,163,20,0,"1,100",57,0,0,60,200,0,26,20,48,92,0,"28,000",230,0,0,61,0,14,0,43,"3,716",0,52,0,0,0,0,10,0,0,0,0,0,0,45,0,0,0,0,0,"1,000",0,0,49,162,2,0,0,0,0,0,0,30,274,"2,900",0,0,125,927,0,0,26,0,34,0,306,0,0,300,250,0,0,0,0
5905,  Kootenay Boundary RD,39,143,39,137,74,44,19,"4,204",161,838,4,74,1,142,73,52,156,"6,149",73,1,"3,710",60,285,48,193,0,0,454,108,232,890,653,25,423,741,"1,294",0,20,162,231,552,340,25,183,66,184,298,784,45,0,48,25,467,1,24,233,22,2,214,28,0,0,358,501,192,100,475,"1,284",91,244,0,"1,503",35,0,98,6,114,906,0,153,304,64,314,0,100,0,"2,743",225,216,"4,968",489,90,191,390,"1,027",302,175,50,37,"1,676",20,50,423,241,292,58,33,84,0,4,221,"1,523",714,185,192,83,"5,723",700,232,184,492,29,722,249,235,90,315,93,94,243,11,"1,638",53,0,197,32,42,"4,502",623,220,368,120,610,174,62,"2,281",605,82,282,"7,572",545,65,"1,284","5,600",722,25,"1,009",706,"1,028",23,449,108,385,212,363,"15,414",83,12,782,310,411,530,557,35,676,307,0,200,812,443,479,3,13,"2,745","3,323",783,"9,153",172,87,"1,790",276,524,"1,069",442,86,"1,709","1,856",537,"5,908","1,316",489,141,153,31,506,516,809,256,205,439,240,141,336,279,488,5,"1,467",455,280,"1,886","2,114",89,113,"1,222",265,473,501,"3,602",85,11,508,"2,756",0,651,"1,210","1,098",557,125,205,12,421,0,91,80,"4,193","3,668","1,616",731,480,"3,339",121,5,10,12,282,187,295,135,363,15,526,708,"2,348",345,597
5905005,"    Fruitvale, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,207,0,0,0,0,0,0,20,0,50,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,90,0,0,92,71,7,0,0,0,0,0,0,0,0,0,0,0,55,16,0,0,0,0,90,0,0,0,0,0,300,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5905032,"    Grand Forks, C",31,77,4,0,43,19,0,"3,719",17,0,4,0,1,30,0,4,22,0,0,1,395,0,0,0,48,0,0,4,0,100,0,0,0,236,591,0,0,20,87,0,358,22,0,18,18,87,9,59,0,0,36,0,76,0,8,117,0,0,29,8,0,0,50,0,5,0,0,"1,254",66,5,0,8,30,0,0,0,0,156,0,10,2,1,1,0,0,0,0,12,0,81,19,0,0,0,0,0,4,30,0,0,0,0,0,23,227,0,8,0,0,0,81,250,2,0,0,0,0,622,45,0,21,0,55,118,122,0,50,0,0,20,0,0,0,0,0,25,7,20,8,190,12,47,0,0,0,0,254,0,25,0,0,35,400,0,48,0,0,0,164,0,17,0,0,164,10,0,40,7,0,60,14,20,24,10,3,1,0,35,5,10,26,3,8,"2,079",25,384,814,0,70,"1,312",219,100,952,366,25,185,24,22,0,582,0,0,0,0,380,0,800,0,0,105,0,25,5,35,488,5,17,250,220,5,"1,297",69,20,62,0,75,344,0,20,11,328,0,0,0,485,5,200,0,80,10,0,0,69,6,0,"3,608","1,600",4,0,64,0,0,0,0,25,160,0,131,18,5,26,40,0,345,22
5905042,"    Greenwood, C",0,15,0,30,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,6,15,0,0,2,0,0,40,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,70,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5905000,"    Kootenay Boundary, RDR",0,7,35,0,7,0,0,85,0,0,0,0,0,45,5,0,0,5,0,0,0,18,0,0,0,0,0,450,80,40,130,0,25,25,150,"1,071",0,0,45,25,0,0,0,0,0,55,0,0,0,0,0,0,0,0,3,0,0,0,0,20,0,0,8,70,151,0,0,30,0,8,0,"1,370",0,0,0,0,0,750,0,0,87,30,307,0,0,0,261,200,100,"4,820",0,3,22,0,50,0,0,0,0,10,0,0,203,58,30,0,25,0,0,0,0,0,5,0,185,40,6,24,132,40,0,26,0,83,0,0,250,50,1,150,4,18,0,0,0,0,15,5,200,0,260,53,24,0,0,"2,250",169,0,50,"3,265",0,0,847,6,350,0,"1,000",0,405,15,0,8,0,20,120,0,0,5,0,0,0,275,198,0,15,0,0,0,50,120,98,0,0,90,350,0,"8,250",0,0,70,10,0,0,0,0,59,530,186,"5,500",332,230,59,30,0,20,20,4,0,140,82,0,85,125,0,0,0,100,200,0,0,206,0,0,70,0,40,0,660,0,0,30,256,0,0,284,0,0,0,0,0,285,0,0,0,0,0,16,215,0,25,2,5,5,7,7,14,5,5,0,0,500,0,98,0,0
5905037,"    Midway, VL",0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,116,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,100,0,0,26,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,"2,250",0,0
5905009,"    Montrose, VL",0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5905023,"    Rossland, C",0,0,0,60,4,8,0,400,0,800,0,74,0,32,0,0,0,0,28,0,115,40,150,48,0,0,0,0,0,65,0,25,0,80,0,0,0,0,0,0,0,0,0,157,18,40,173,525,0,0,0,0,80,0,0,0,0,0,0,0,0,0,245,10,0,0,475,0,0,231,0,0,0,0,62,0,0,0,0,0,0,33,0,0,0,0,"2,250",13,0,0,0,0,0,0,0,0,125,0,0,0,0,15,0,0,0,0,0,9,0,0,7,0,77,0,0,43,123,54,5,4,0,3,5,41,100,0,0,13,0,2,0,83,0,0,0,7,14,"4,445",400,0,26,20,0,0,0,0,0,12,65,"1,283",145,30,0,0,23,0,0,0,0,8,432,0,6,12,130,"15,410",1,0,782,0,0,0,12,0,570,0,0,3,0,135,332,0,0,211,"2,913",5,22,172,0,15,0,12,40,76,0,"1,118",850,56,138,0,0,0,0,0,0,18,0,20,0,49,0,0,186,4,0,0,45,0,0,0,30,0,48,0,0,215,18,325,0,0,0,0,0,74,85,530,297,15,0,0,30,0,12,20,93,0,0,492,0,"3,210",0,0,5,5,250,13,290,0,345,10,0,75,0,0,500
5905014,"    Trail, C",8,44,0,42,0,7,0,0,144,38,0,0,0,35,68,3,134,"5,745",45,0,"3,200",2,135,0,145,0,0,0,18,3,574,628,0,82,0,205,0,0,0,200,183,312,0,8,30,0,0,200,0,0,0,25,311,0,0,30,22,2,185,0,0,0,55,327,36,100,0,0,25,0,0,25,5,0,10,2,89,0,0,143,215,0,6,0,0,0,232,0,116,0,470,87,169,390,770,302,31,20,37,"1,586",20,11,220,110,35,40,0,75,0,4,133,"1,273",630,185,7,0,"5,594",0,50,0,21,0,662,7,13,0,15,30,1,0,0,900,53,0,197,0,6,32,15,5,0,0,528,158,62,31,162,70,52,"3,024",400,0,37,"5,594",1,25,9,706,459,0,0,100,379,11,103,4,40,0,0,250,397,150,320,25,88,261,0,162,757,154,22,0,5,365,35,394,67,0,17,93,7,386,77,0,61,346,429,268,270,402,254,28,123,12,106,478,0,219,65,68,240,31,20,240,0,0,"1,221",5,60,"1,881",508,20,25,"1,075",205,143,139,"2,617",65,0,150,"2,500",0,577,355,562,60,110,0,2,106,0,10,54,"4,100",60,0,20,480,0,36,0,0,0,0,0,0,0,0,0,0,593,0,0,75
5905018,"    Warfield, VL",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,40,26,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,65,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Development Region, Cariboo DR,"5,733",520,"4,843","4,806",300,"1,397","1,671","2,831","14,918","2,096","8,762","4,092",573,"3,732","2,065","3,417","4,858","2,273","3,662","1,904","4,978","2,468","2,232",181,"1,765",921,"1,565","6,441","1,066","2,965","1,956","4,802","4,827","2,496",994,546,"1,990",414,"1,269","1,098","3,251","2,697","5,006","1,264","10,719","1,861","3,557","3,041",900,"2,963",910,"2,152","4,200","21,504","8,073","3,635","2,365","3,228","2,933",460,"1,043","2,908","1,803","4,444","3,907","4,259","2,510","1,356","4,370","5,023","3,007",435,"2,192","10,555",383,484,"1,661","2,636","1,252","4,887","3,769",571,"2,030","1,632","2,325","1,305","6,236","1,070","1,450","1,787","2,582","3,199","2,858","1,872","1,075",189,255,"1,361","1,261","2,943","2,634","1,519","12,998","2,499","3,169",706,612,"1,680","2,595","1,378","2,489","6,961","1,085","15,137","6,568","1,002","1,359","4,961","1,557","1,325","1,101","1,886","4,399","11,026","1,125","2,930","19,473","3,718","3,319","2,048","1,353","2,278","3,320",638,"1,739","2,978","12,340","16,017","24,638","9,904","3,923","3,571","2,235","3,949","3,086","1,127","6,728","1,534","5,062","3,037","3,507","1,484","2,647","1,138","4,436","3,500","2,644","11,932",538,"22,549","4,894","4,303","14,771","1,240","1,382","12,591","1,827","1,267","2,417",180,"1,514","1,272","3,787","4,588","22,868",665,836,"3,766",756,"2,330","1,803","4,665","2,644","1,054","2,076","2,088","1,540","7,854","2,569","3,228",817,556,"1,310","2,731","2,344",997,"3,908","6,781","19,222","23,035","7,376","10,482","3,367","3,157","3,740","1,604","13,649","9,476","3,026","3,224","24,741","44,904","8,590","1,762",700,"2,509","2,022",768,"1,100","3,846","5,725",440,"1,186","9,462","14,012","19,764","1,399",979,"2,643","26,288","4,307","2,353","4,705","2,210","4,917","17,916",604,"7,861","2,308",351,817,"1,410","3,671","1,110","8,009","3,610","3,429","2,446","27,579","3,594","1,312",420,"8,517","6,339",696,"1,568","5,598","3,974","7,429","2,816","3,188","4,228","1,878",588,"1,757"
5941,  Cariboo RD,261,272,525,869,80,863,262,"1,097","3,578",25,35,40,249,207,193,"2,320",221,702,2,5,184,480,989,145,178,575,751,507,262,"1,078",800,"3,335",862,667,465,101,"1,815",89,684,880,394,186,"3,856",383,"1,577",971,47,105,0,326,13,"1,906",766,40,499,612,268,203,346,114,317,747,618,"2,648","1,028",768,"1,048",942,570,"3,510","1,365",103,665,"1,098",115,411,468,50,114,290,282,137,681,723,690,311,"4,412",427,9,147,22,90,307,"1,221",612,0,30,343,"1,005","1,219",478,"1,007","1,532","1,995","2,244",399,492,610,"1,686",461,"1,392",394,91,162,310,452,33,"1,364",286,309,107,208,198,403,344,142,432,"1,368","1,175",546,419,"1,076",821,27,"1,479","1,120",546,371,"4,611","2,374",948,542,487,"3,178",341,221,566,698,155,905,"1,338","1,022",842,150,8,364,75,"11,678",474,"20,009",73,"2,635",905,318,148,"1,556",10,97,"1,447",140,474,448,"2,282","1,595","2,045",395,0,37,43,"2,160",0,835,68,658,423,"1,331","1,458",952,"1,393",146,12,427,473,369,"1,068",802,681,"1,108",179,"1,433","7,345","6,978",993,45,295,224,"11,541",439,800,338,"9,856",451,"3,446",783,302,625,514,38,525,"1,427","1,875",340,"1,027",386,"1,870",244,"1,319",225,324,679,672,552,"2,182",90,874,"10,401",332,981,836,73,729,432,228,567,"4,285","2,079",829,414,372,765,257,0,92,241,295,30,"3,251",109,"4,030","1,800",896,"1,741",211,189,85
5941000,"    Cariboo, RDR",3,0,79,35,50,846,196,0,78,0,0,0,42,145,64,0,0,673,0,0,2,0,0,125,1,490,30,80,10,0,30,0,60,546,0,101,0,0,107,360,227,0,90,351,33,99,30,85,0,0,0,241,120,0,0,0,145,130,0,0,246,189,250,682,115,0,379,0,310,0,230,0,650,0,10,328,168,50,4,0,0,0,42,660,578,81,0,320,0,0,0,0,34,0,325,0,0,168,90,37,326,144,36,0,0,219,0,0,"1,558",0,0,183,0,0,103,0,0,0,0,0,0,0,0,12,0,0,54,51,0,0,100,0,0,0,0,70,29,0,51,0,0,0,0,0,26,181,0,250,0,0,13,0,0,0,0,0,0,0,0,"1,908",30,0,360,0,0,0,0,43,250,0,0,0,0,0,0,0,0,0,0,"2,100",0,0,0,10,10,60,165,15,200,0,12,0,0,9,0,0,0,84,0,128,220,1,0,0,161,0,0,0,0,0,108,247,238,560,110,0,0,0,0,0,730,0,23,0,309,169,0,0,73,0,0,0,90,0,586,70,156,0,15,19,0,0,0,0,"4,050",24,450,0,134,153,0,0,0,44,0,0,0,0,"1,200",285,0,33,0,0,0
