SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5901006,"    Sparwood, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,159",0,0,0,0,0,0,0,0,0,0,15,"14,523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,117,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5905,  Kootenay Boundary RD,16,0,305,0,0,218,263,"4,366",349,"2,650",484,0,30,0,20,"1,476",37,349,160,0,0,178,137,"1,100",0,0,44,160,0,76,"1,282",142,"1,390",0,0,1,0,8,0,123,505,"1,774",112,0,"1,370","9,669",7,0,18,"8,004",90,0,27,94,710,18,52,2,0,"27,490",0,0,"1,007",734,30,87,0,67,378,0,0,0,0,0,3,0,37,50,162,0,485,"1,399",56,10,142,0,47,"2,591",30,10,160,150,22,11,133,114,4,0,0,47,54,28,0,25,10,"1,092","2,325",0,"2,701",10,0,217,0,"1,580",185,99,0,0,0,220,296,0,0,0,23,215,856,0,153,0,70,35,15,188,22,395,0,0,"1,389",0,0,0,0,0,250,170,2,0,100,16,686,0,85,0,0,0,33,0,26,219,100,0,90,"6,940",320,0,190,468,438,10,0,99,0,80,108,950,35,22,2,144,0,50,67,30,135,220,947,80,"15,126",285,210,54,45,107,84,357,24,627,48,257,8,450,9,75,158,450,0,484,"1,030",73,222,311,100,32,139,"5,990",326,"16,125",585,15,35,0,149,1,"1,055",0,10,0,22,55,535,"1,250",0,0,0,0,40,25,27,0,80,0,0,"1,330",10,555,475,0,0,125,93,0,10,15,0,0,0,0,12,0,40,0,100,300,0
5905005,"    Fruitvale, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48,17,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,28,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,20,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,330",0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5905032,"    Grand Forks, C",0,0,17,0,0,0,51,66,30,0,5,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,76,"1,172",0,0,0,0,1,0,8,0,0,0,0,0,0,0,"9,669",0,0,0,0,90,0,0,90,680,18,52,2,0,90,0,0,0,732,0,37,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,160,0,2,0,0,0,0,0,0,25,0,0,0,0,0,0,"2,000",0,"2,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,153,0,0,0,0,0,22,0,0,0,"1,214",0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,190,0,25,10,0,0,0,55,0,0,9,22,0,0,0,0,0,0,0,205,0,0,75,90,0,0,0,80,84,329,9,173,0,180,8,0,0,0,8,450,0,22,20,3,0,0,0,0,136,0,305,125,585,15,0,0,29,1,55,0,0,0,0,55,535,0,0,0,0,0,40,25,0,0,0,0,0,0,0,35,475,0,0,0,10,0,10,15,0,0,0,0,12,0,40,0,0,0,0
5905042,"    Greenwood, C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,47,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,15,15,0,0,0,0,15,0,15,0,0,15,15,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5905000,"    Kootenay Boundary, RDR",0,0,0,0,0,0,13,0,210,0,0,0,0,0,10,0,35,0,0,0,0,0,18,"1,100",0,0,0,0,0,0,0,142,70,0,0,0,0,0,0,80,0,"1,746",0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,30,0,0,150,20,10,10,0,4,0,0,0,6,0,0,25,0,800,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,188,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,500,0,0,0,0,0,0,0,23,10,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,80,0,153,0,0,0,0,0,0,0,0,40,0,0,425,0,0,0,0,0,0,560,0,200,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5905037,"    Midway, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,7,4,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5905009,"    Montrose, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5905023,"    Rossland, C",0,0,0,0,0,0,99,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,160,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,20,0,0,0,0,"7,000",0,0,0,0,30,0,0,0,0,0,0,0,7,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,47,0,0,0,0,0,413,0,0,0,0,0,1,950,26,0,2,0,0,0,0,30,105,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
5905014,"    Trail, C",16,0,288,0,0,218,60,"4,300",109,"2,650",479,0,0,0,10,"1,476",2,0,0,0,0,165,119,0,0,0,0,0,0,0,110,0,"1,320",0,0,0,0,0,0,42,5,28,112,0,"1,350",0,0,0,0,"1,000",0,0,20,0,0,0,0,0,0,"27,400",0,0,"1,000",0,0,0,0,0,378,0,0,0,0,0,0,0,37,25,156,0,485,"1,399",56,5,142,0,0,"2,591",0,0,0,0,0,0,111,114,0,0,0,22,0,11,0,0,10,292,325,0,1,10,0,197,0,"1,570",185,99,0,0,0,220,0,0,0,0,8,15,80,0,0,0,50,35,15,0,0,395,0,0,110,0,0,0,0,0,0,0,2,0,100,0,180,0,75,0,0,0,0,0,3,200,0,0,0,"6,940",200,0,0,468,0,0,0,99,0,0,107,0,0,0,0,129,0,0,52,0,15,0,0,0,"14,820",42,190,0,30,27,0,13,0,434,8,0,0,25,0,75,150,0,0,0,0,70,15,0,0,30,0,"5,990",21,"16,000",0,0,0,0,0,0,"1,000",0,10,0,22,0,0,"1,250",0,0,0,0,0,0,27,0,80,0,0,0,10,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
5905018,"    Warfield, VL",0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Development Region, Cariboo DR,0,23,696,"4,250",662,"5,240","9,447","3,599","4,680",473,"2,002",82,58,8,15,74,4,315,244,"7,882","2,188",48,258,0,604,"1,338","6,323",10,692,890,"14,236","24,469","4,101",655,"4,714","4,001",280,267,223,"3,300","25,414","1,184",836,212,801,13,896,0,32,129,232,"1,787",231,565,"1,111",0,0,343,"35,438",25,"3,623","4,328","10,780",0,125,"1,880",630,85,10,"39,817","5,082","3,655",0,100,0,800,53,"4,773","6,390","1,040","7,340",943,516,"1,833",460,0,"3,007",81,0,"22,320","43,018",181,220,100,488,492,360,46,"1,100",8,8,50,695,15,515,"24,872",5,0,347,215,874,"1,786","1,426",0,294,214,244,606,0,516,98,"2,250",116,306,81,27,"3,350",449,"1,016",130,701,120,"5,100","6,533",651,38,"1,597",426,714,160,454,7,0,259,205,153,45,140,58,"1,051",40,202,"1,151",97,150,128,0,11,"1,436","3,330",0,90,803,15,0,210,725,106,576,338,"1,230","4,564",352,942,80,"11,507",257,846,39,0,34,37,76,0,0,"34,371",291,200,257,6,695,0,50,0,0,470,"1,145","17,840","3,632",6,225,710,395,523,"1,081",0,0,0,"5,023",0,0,"22,971","29,979","5,479",65,12,"1,425",86,0,"2,998",146,"1,346",313,0,"2,281",843,"1,761",67,160,600,"8,915",75,"4,200","4,468","2,492","1,200",100,"1,690","6,300",0,"5,215","198,975",0,181,"1,724",10,"2,013",595,28,"5,731",284,"1,025",0,200,720,"54,776",73,160,"2,954","2,084","1,803","10,087","26,093","2,213","1,500"
5941,  Cariboo RD,0,23,224,100,1,"5,240",0,"3,419",5,248,2,0,50,8,15,0,0,0,0,"7,450",234,43,0,0,0,"1,338",0,0,398,620,"14,236",0,"3,074",430,"4,400",40,280,250,197,"3,300",9,256,568,136,1,5,250,0,32,99,140,0,58,100,24,0,0,0,15,0,0,0,"8,500",0,125,800,130,0,0,100,"4,700",32,0,100,0,800,0,"2,900","6,140",0,0,0,0,0,0,0,0,0,0,"8,000",10,0,0,100,0,0,0,46,0,0,8,0,54,0,0,65,0,0,60,0,400,0,4,0,0,131,234,0,0,0,0,0,0,6,0,12,"1,730",15,16,30,0,120,"5,100",0,0,0,0,0,45,0,0,7,0,0,205,73,0,0,0,0,2,0,893,0,60,0,0,0,10,130,0,40,100,15,0,10,615,100,0,0,0,800,110,350,0,"11,213",238,801,15,0,34,0,60,0,0,0,15,0,29,3,0,0,0,0,0,450,0,"6,000",0,0,225,0,0,0,0,0,0,0,23,0,0,"22,696","28,325",459,65,12,25,86,0,0,146,479,279,0,0,578,0,67,0,0,434,0,"4,200",350,101,"1,200",100,200,"2,800",0,"4,015","198,800",0,0,0,10,"1,291",395,28,0,25,"1,025",0,200,0,0,0,5,"2,500","2,084","1,000",0,"24,916",0,0
5941000,"    Cariboo, RDR",0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,65,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,30,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,15,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,13,156,41,0,0,0,0,30,0,0,0,15,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,325",5,0,0,25,86,0,0,60,0,279,0,0,0,0,0,0,0,0,0,0,350,0,"1,200",0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,0
5941005,"    One Hundred Mile House, DM",0,0,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"1,338",0,0,0,0,0,0,66,0,0,0,280,0,24,50,0,236,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,"2,900","6,060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,"1,729",15,0,0,0,0,"5,100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5941013,"    Quesnel, C",0,23,184,0,0,0,0,10,5,0,2,0,0,8,0,0,0,0,0,"7,440",0,30,0,0,0,0,0,0,5,0,"4,136",0,0,0,0,0,0,202,13,0,0,0,0,58,0,0,250,0,0,99,0,0,58,0,14,0,0,0,0,0,0,0,0,0,0,250,130,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,"8,000",10,0,0,100,0,0,0,0,0,0,8,0,0,0,0,0,0,0,60,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,8,0,45,0,0,0,0,0,0,40,100,0,0,10,615,100,0,0,0,0,110,0,0,0,0,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000",0,0,225,0,0,0,0,0,0,0,0,0,0,"22,696",0,0,65,12,0,0,0,0,0,479,0,0,0,0,0,0,0,0,434,0,"4,200",0,1,0,100,200,"2,800",0,15,0,0,0,0,0,"1,250",0,0,0,0,0,0,200,0,0,0,0,0,"2,084",0,0,"24,916",0,0
5941009,"    Williams Lake, C",0,0,0,100,1,"5,240",0,"3,407",0,0,0,0,50,0,15,0,0,0,0,10,0,10,0,0,0,0,0,0,393,620,"10,100",0,"2,948",430,"4,400",40,0,48,160,"3,250",9,20,568,3,1,5,0,0,32,0,140,0,0,100,10,0,0,0,15,0,0,0,"8,500",0,125,550,0,0,0,0,"4,700",32,0,90,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,205,73,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,350,0,"11,200",82,700,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,100,0,0,0,0,0,"4,000","198,800",0,0,0,10,40,95,28,0,25,"1,025",0,0,0,0,0,5,"2,500",0,0,0,0,0,0
5953,  Fraser-Fort George RD,0,0,472,"4,150",661,0,"9,447",180,"4,675",225,"2,000",82,8,0,0,74,4,315,244,432,"1,954",5,258,0,604,0,"6,323",10,294,270,0,"24,469","1,027",225,314,"3,961",0,17,26,0,"25,405",928,268,76,800,8,646,0,0,30,92,"1,787",173,465,"1,087",0,0,343,"35,423",25,"3,623","4,328","2,280",0,0,"1,080",500,85,10,"39,717",382,"3,623",0,0,0,0,53,"1,873",250,"1,040","7,340",943,516,"1,833",460,0,"3,007",81,0,"14,320","43,008",181,220,0,488,492,360,0,"1,100",8,0,50,641,15,515,"24,807",5,0,287,215,474,"1,786","1,422",0,294,83,10,606,0,516,98,"2,250",116,300,81,15,"1,620",434,"1,000",100,701,0,0,"6,533",651,38,"1,597",426,669,160,454,0,0,259,0,80,45,140,58,"1,051",38,202,258,97,90,128,0,11,"1,426","3,200",0,50,703,0,0,200,110,6,576,338,"1,230","3,764",242,592,80,294,19,45,24,0,0,37,16,0,0,"34,371",276,200,228,3,695,0,50,0,0,20,"1,145","11,840","3,632",6,0,710,395,523,"1,081",0,0,0,"5,000",0,0,275,"1,654","5,020",0,0,"1,400",0,0,"2,998",0,867,34,0,"2,281",265,"1,761",0,160,600,"8,481",75,0,"4,118","2,391",0,0,"1,490","3,500",0,"1,200",175,0,181,"1,724",0,722,200,0,"5,731",259,0,0,0,720,"54,776",73,155,454,0,803,"10,087","1,177","2,213","1,500"
5953000,"    Fraser-Fort George, RDR",0,0,16,0,35,0,0,0,0,0,0,25,0,0,0,0,0,0,20,0,7,0,0,0,0,0,0,0,135,0,0,307,0,0,0,0,0,0,0,0,10,0,0,60,0,0,0,0,0,30,60,0,0,125,0,0,0,0,0,0,0,0,0,0,0,185,0,0,4,0,0,0,0,0,0,0,52,123,0,950,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,42,0,47,70,10,606,0,0,0,50,0,0,0,0,740,0,"1,000",0,701,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,50,24,27,0,0,0,0,0,0,0,11,0,0,0,0,19,0,0,0,0,6,0,48,0,0,0,277,4,94,19,0,9,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5953033,"    Mackenzie, DM",0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,517,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,0,0,0,0,0,0,0,0,0,10,0,34,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,40,"4,770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,"4,831",0,0,0,0,803,0,0,0,0
5953012,"    McBride, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,76,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
