Neighborhood,Beds_Category,Percentage,mean,median,q25,q75,q100
West Vancouver,1.0,0.24045686804929364,1153861.0,873444.0,753000.0,1341250.0,2368000.0
West Vancouver,2.0,0.4207995190862639,1990278.5714285714,1475950.0,1101000.0,1842000.0,7000000.0
West Vancouver,3.0,0.36068530207394045,3412657.3333333335,3643000.0,2399500.0,4223000.0,5298000.0
West Vancouver,4+,1.5028554253080855,4906720.0,4224000.0,3021500.0,5886000.0,13998000.0
West Vancouver,nan,0.09017132551848511,255666.66666666666,280000.0,214500.0,309000.0,338000.0
others,1.0,0.9618274721971746,777340.25,728000.0,627975.0,851250.0,1480000.0
others,2.0,1.7132551848512172,1183866.6315789474,1099000.0,869000.0,1299000.0,2788000.0
others,3.0,1.3225127742711151,1781433.8409090908,1644400.0,1304975.0,2090500.0,4198000.0
others,4+,1.2924556657649533,3254711.6279069767,2487000.0,1999000.0,3243000.0,31770000.0
others,nan,0.18034265103697023,3065510.0,975030.0,247475.0,2357290.0,13500000.0
